team;race;coach;naf name;naf number;ranking;group;active
Rafmar - Dwarfchester City;Dwarf;Rafmar;Rafmar;30754;0.00;;true
Troloe - Angry krakens;Goblin;Troloe;Troloe;20366;0.00;;true
Misifu - Ogresivos;Ogre;Misifu;Misifu;26199;0.00;;true
Metzar - Xamineitors;Elf Union;Metzar;Metzar;33836;0.00;;true
Gabillas - Thurum Boys;Dark Elf;Gabillas;Gabillas;30807;0.00;;true
Ferre - Os Basureiros do turno da noite;Nurgle;Ferre;Ferre;29700;0.00;;true
Mygaitero - Loz Novatoz;Orc;Mygaitero;Mygaitero;;0.00;;true
Purohit - Avernitas After Midnight;Underworld Denizens;Purohit;Purohit;24728;0.00;;true
MagdaBB - AMENAZA;Orc;MagdaBB;MagdaBB;;0.00;;true
zZKing - Peta Zetas Humanos;Human;zZKing;zZKing;17366;0.00;;true
skaripense - Umea Vikes;Norse;skaripense;skaripense;20824;0.00;;true
Nopher - Adictos a la Piedra Bruja;Skaven;Nopher;Nopher;31740;0.00;;true
glukosidiko - Underworld IBM;Underworld Denizens;glukosidiko;glukosidiko;30439;0.00;;true
Sandor - Nec Romancers;Necromantic Horror;Sandor;Sandor;22926;0.00;;true
Weis Akenatae - Los Toros Volcanicos;Chaos Dwarf;Weiss Akenatae;Weiss Akenatae;;0.00;;true
bululito . BULUS TEAM;Imperial Nobility;bululito;bululito;22826;0.00;;true
BARBANCHO - Nurgle Infectors;Nurgle;BARBANCHO;BARBANCHO;20367;0.00;;true
Totay - Bebedores de sangre;Khorne;Totay;Totay;22103;0.00;;true
eu4rico - nombre de equipo molon;Shambling Undead;eu4rico;eu4rico;24370;0.00;;true
SirSergio - Amazorros;Amazon;SirSergio;SirSergio;;0.00;;true
SrLombard - Cofradia tragasangre;Dark Elf;SrLombard;SrLombard;30057;0.00;;true
jaruib - RomanDwarf;Dwarf;jaruib;jaruib;24880;0.00;;true
Jull45 - This is Halloween;Necromantic Horror;Jull45;Jull45;32258;0.00;;true
Yorch - Yo y mis bolas;Goblin;Yorch;Yorch;30893;0.00;;true
Harec - Moscardones;Snotling;Harec;Harec;24018;0.00;;true
Azaghtogh - Corsarios;Dark Elf;Azaghtogh;Azaghtogh;32280;0.00;;true
Peluwo - Peludos Team;Necromantic Horror;Peluwo;Peluwo;;0.00;;true
Shirokov - Infierno Subterraneo;Underworld Denizens;Shirokov;Shirokov;12520;0.00;;true
Serrano 65 - Los Pollitos Veloces;Elf Union;Serrano 65;Serrano 65;;0.00;;true
Calltroop - Oraculeras;Amazon;Calltroop;Calltroop;24449;0.00;;true
Godzilla - Khornedzilla;Khorne;Godzilla;Godzilla;8122;0.00;;true
Pececito - Aberrados Oscuros;Dark Elf;Pececito;Pececito;20811;0.00;;true
Ronda - Necrolegas;Necromantic Horror;Ronda;Ronda;31469;0.00;;true
H3ct0r - Kaotikos;Chaos Chosen;H3ct0r;H3ct0r;;0.00;;true
Estertor - Avispones;Dwarf;Estertor;Estertor;28940;0.00;;true
RojoCinco - La horda mestiza;Chaos Renegade;RojoCinco;RojoCinco;33008;0.00;;true
Koki - Corsarios Sangrientos;Dark Elf;Koki;Koki;28863;0.00;;true
Hurgh - The Waka Jawakaz;Black Orc;Hurgh;Hurgh;35315;0.00;;true
Jose_Q - Granujas a todo ritmo;Shambling Undead;Jose_Q;Jose_Q;19044;0.00;;true
Emiliakus - LuzIA Followers;Dark Elf;Emiliakus;Emiliakus;6376;0.00;;true
David Q - Los Deportistas;Human;David_Q;David_Q;23394;0.00;;true
Gustavez - Alianza Madolell;Dark Elf;Gustavez;Gustavez;30086;0.00;;false
adrianeden - Morkoz Chosen;Goblin;adrianeden;adrianeden;30753;0.00;;true
Xinalake - BBR;Chaos Renegade;Xinalake;Xinalake;30435;0.00;;true
Ziost - Stardancers;Elf Union;Ziost;Ziost;35193;0.00;;true
Jango 314 - Los Ratematicos;Skaven;Jango314;Jango314;20812;0.00;;false
Neo_Chains - The Grog Stealers;Goblin;Neo_Chains;Neo_Chains;20830;0.00;;true
Tharsis - Khoraculo;Khorne;Tharsis;Tharsis;27740;0.00;;true
Pas_Mao - Maorcs;Orc;Pas_Mao;Pas_Mao;11534;0.00;;true
Xiete - PEXTOXOX;Nurgle;Xiete;Xiete;24623;0.00;;true
Judaspainkiller - Judaspainkiller;Shambling Undead;Judaspainkiller;Judaspainkiller;35204;0.00;;true
Chemarvi - Amazing SEAFOODS;Halfling;Chemarvi;Chemarvi;33929;0.00;;true
Gpo - Tomb Guardians;Tomb Kings;Gpo;Gpo;32051;0.00;;true
Golum89 - Norsicos;Norse;Golum89;Golum89;35460;0.00;;true
Duke Luthor Von Hawkfire - Hammertime;Dwarf;Duke_Luthor_Von_Hawkfire;Duke_Luthor_Von_Hawkfire;11793;0.00;;true
Inevitable Wanderes;Chaos Renegade;Sir Mayans;Sir Mayans;3294;0.00;;true
Karrashantemi - Karrashkuak El Senior de los Patitos;Elf Union;Karrashantemi;Karrashantemi;22222;0.00;;true
Serserius - The Corn Monsters;Necromantic Horror;Serserius;Serserius;30537;0.00;;true
Coates - Team Coates;Dwarf;Coates;Coates;35667;0.00;;true
Lord_buba - Crazy Green;Goblin;Lord_buba;Lord_buba;22102;0.00;;true
Paezinho - Bones Jackson and Family BBC;Shambling Undead;Paezinho;Paezinho;30430;0.00;;true
Galle - ABEJORROS DE LA COMARCA;Halfling;Galle;Galle;31026;0.00;;true
Pawel406 - Infrachusta;Underworld Denizens;Pawel406;Pawel406;30815;0.00;;true
Ironcat - Te dark cats;Dark Elf;Ironcat;Ironcat;15283;0.00;;true
Kale - Black Block;Black Orc;Kale;Kale;22482;0.00;;true
Lord Arioch - Return;Shambling Undead;Lord Arioch;Lord Arioch;24028;0.00;;true
Hachablanca - Estrellas del SUR;Dark Elf;Hachablanca;Hachablanca;10236;0.00;;true
Fran Mutado - Tercos de Troloe;Dwarf;Fran Mutado;Fran Mutado;21332;0.00;;true
Bubba - LOS LACASITOS;Snotling;Bubba;Bubba;30201;0.00;;true
MapacheCoactivo - Altivos de Altdorf;Imperial Nobility;MapacheCoactivo;MapacheCoactivo;29363;0.00;;true
EduarSmoka - Saca La Grifa Lagartija;Lizardmen;EduarSmoka;EduarSmoka;31339;0.00;;true
Manra69 - Almas sangrientas;Shambling Undead;Manra69;Manra69;32257;0.00;;true
Maquinator - LOS VIOLENTOS DE KHORNE;Khorne;Maquinator;Maquinator;24866;0.00;;true
Chache Perrache - Carne de Perro;Necromantic Horror;Chache Perrache;Chache Perrache;34040;0.00;;true
Bileman - White Killers;Underworld Denizens;Bileman;Bileman;11533;0.00;;true
Aguss - Memonios del Corner;Khorne;Aguss;Aguss;23058;0.00;;true
LOBERAS - White Walkers;Shambling Undead;LOBERAS;LOBERAS;10505;0.00;;true
Abaddon- Isypisy;Underworld Denizens;Abaddon;Abaddon;29932;0.00;;true
Kwe - Rayo ValleArcano;Chaos Chosen;Kwe;Kwe;30989;0.00;;true
Pablo1880 - Los Torraos;Underworld Denizens;Pablo1880;Pablo1880;30085;0.00;;true
Dakathllu - Dakathllus;Human;Dakathllu;Dakathllu;31179;0.00;;true
Celata - Nórdicos del Sur;Norse;Celata;Celata;31744;0.00;;true
Leinad - Terma;Amazon;Leinad;Leinad;;0.00;;true
Javin23 - Infra Oraculo;Underworld Denizens;Javin23;Javin_23;28328;0.00;;true
